[2026-07-28T05:54:08.649Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-28T05:54:08.651Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-28T05:54:08.652Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-28T05:54:08.652Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-28T05:54:08.652Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-28T05:54:08.652Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-28T05:54:08.652Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-28T05:54:08.652Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-28T05:54:08.653Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-28T05:54:08.654Z] [INFO] Daemon started (PID: 1111221, CPUs: 12, workers: 7, maxCpuLoad: 9.600000000000001, minFreeMemoryPercent: 10%)
[2026-07-28T05:54:08.656Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T05:54:08.656Z] [INFO] Worker map completed in 1ms
[2026-07-28T05:56:08.658Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T05:56:08.659Z] [INFO] Worker audit completed in 2ms
[2026-07-28T05:58:08.661Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T05:58:08.662Z] [INFO] Worker optimize completed in 5ms
[2026-07-28T06:00:08.656Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T06:00:08.658Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-28T06:00:08.658Z] [INFO] Worker consolidate completed in 2ms
[2026-07-28T06:02:08.656Z] [INFO] Worker testgaps deferred: CPU load too high: 18.09
[2026-07-28T06:04:08.658Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-28T06:04:08.661Z] [INFO] Worker backup completed in 5ms
[2026-07-28T06:04:08.663Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T06:04:08.664Z] [INFO] Worker testgaps completed in 2ms
[2026-07-28T06:06:08.656Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-28T06:06:08.664Z] [INFO] Starting worker: audit (2/2 concurrent)
[2026-07-28T06:06:08.664Z] [INFO] Worker audit completed in 1ms
[2026-07-28T06:06:08.682Z] [INFO] Worker harness completed in 26ms
[2026-07-28T06:09:08.661Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T06:09:08.662Z] [INFO] Worker map completed in 1ms
[2026-07-28T06:13:08.668Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T06:13:08.669Z] [INFO] Worker optimize completed in 2ms
[2026-07-28T06:16:08.669Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T06:16:08.670Z] [INFO] Worker audit completed in 1ms
[2026-07-28T06:22:08.662Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T06:22:08.663Z] [INFO] Worker testgaps completed in 2ms
[2026-07-28T06:24:08.668Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T06:24:08.668Z] [INFO] Worker map completed in 1ms
[2026-07-28T06:26:08.675Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T06:26:08.676Z] [INFO] Worker audit completed in 2ms
[2026-07-28T06:28:08.674Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T06:28:08.675Z] [INFO] Worker optimize completed in 2ms
[2026-07-28T06:30:08.662Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T06:30:08.663Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-28T06:30:08.664Z] [INFO] Worker consolidate completed in 3ms
[2026-07-28T06:36:08.681Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T06:36:08.682Z] [INFO] Worker audit completed in 2ms
